# Stars SQL Plaintext List
# TYPE CODES
PN    ---- Planetary Nebula
DN    ---- Diffuse Nebula
DC    ---- Diffuse Cluster
OC    ---- Open Cluster
GC    ---- Globular Cluster
GAL   ---- Galaxy
BIN   ---- Binary +

# COMMON           STD     TYPE     RA          DEC      EPOCH   flux  lastupdate     
M66                NGC3627  GAL  11:20:15.02 +12:59:28.64 2000  U=9.85    20180201
M67                NGC2682  OC   08:51:18    +11:48.0     2000  B=7.6     20180201
M68                NGC4590  GC   12:39:27.98 -26:44:38.6  2000  B=10.26   20180201
M69                NGC6637  GC   18:31:23.10 -32:20:53.1  2000  B=9.32    20180201
M70                NGC6681  GC   18:43:12.76 -32:17:31.6  2000  B=9.76    20180201
M71                NGC6838  GC   19:53:46.49 +18:46:45.1  2000  B=7.91    20180201
M72                NGC6981  GC   20:53:27.70 -12:32:14.3  2000  B=9.95    20180201
M73                NGC6994  OC   20:59.0     -12:38       2000  V=8.9     20180201
M74                NGC628   GAL  01:36:41.77 +15:47:00.46 2000  U=10.52   20180201
M75                NGC6864  GC   20:06:04.84 -21:55:20.14 2000  V=8.26    20180201
LittleDumbbell     M76      PN   01:42:19.69 +51:34:31.7  2000  V=17.48   20180201
M77                NGC1068  GAL  02:42:40.77 -00:00:47.84 2000  U=9.70    20180201
M78                NGC2068  DN   05:46:45.8  +00:04:45    2000  B=8.0     20180201
M79                NGC1904  GC   05:24:10.59 -24:31:27.3  2000  B=9.21    20180201
M80                NGC6093  GC   16:17:02.41 -22:58:33.9  2000  g=7.924   20180201
BodesGalaxy        M81      GAL  09:55:33.17 +69:03:55.1  2000  B=7.89    20180201
CigarGalaxy        M82      GAL  09:55:52.43 +69:40:46.9  2000  U=9.61    20180201
SouthernPinwheel   M83      GAL  13:37:00.91 -29:51:56.7  2000  U=8.85    20180201
M84                NGC4374  GAL  12:25:03.74 +12:53:13.1  2000  U=12.67   20180201
M85                NGC4382  GAL  12:25:24.05 +18:11:27.9  2000  B=10.2    20180201
M86                NGC4406  GAL  12:26:11.81 +12:56:45.5  2000  U=10.32   20180201
VirgoGalaxy        M87      GAL  12:30:49.42 +12:23:28.0  2000  U=10.16   20180201
M88                NGC4501  GAL  12:31:59.21 +14:25:13.5  2000  B=14.33   20180201
M89                NGC4552  GAL  12:35:39.8  +12:33:23    2000  U=11.29   20180201
M90                NGC4569  GAL  12:36:49.81 +13:09:46.3  2000  U=10.56   20180201
M91                NGC4548  GAL  12:35:26.43 +14:29:46.8  2000  B=14.63   20180201
M92                NGC6341  GC   17:17:07.39 +43:08:09.4  2000  V=6.52    20180201
M93                NGC2447  OC   07:44:30    -23:51.4     2000  B=6.57    20180201
M94                NGC4736  GAL  12:50:53.14 +41:07:12.5  2000  U=9.15    20180201
M95                NGC3351  GAL  10:43:57.73 +11:42:13.0  2000  U=10.71   20180201
M96                NGC3368  GAL  10:46:45.74 +11:49:11.7  2000  U=10.42   20180201
OwlNebula          M97      PN   11:14:47.70 +55:01:08.7  2000  B=15.414  20180201
M98                NGC4192  GAL  12:13:48.29 +14:54:01.6  2000  U=11.25   20180201
VirgoPinwheel      M99      DN   12:18:49.62 +14:24:59.3  2000  U=10.45   20180201
M100               NGC4321  GAL  12:22:54.89 +15:49:20.5  2000  U=10.04   20180201
Pinwheel           M101     GAL  14:03:12.58 +54:20:55.5  2000  B=8.46    20180201
M102               NGC5866  GAL  15:06:29.56 +55:45:47.9  2000  U=11.12   20180201
M103               NGC581   OC   01:33:23    +60:39.0     2000  B=7.72    20180201
SombreroGalaxy     M104     GAL  12:39:59.43 -11:37:23.0  2000  U=9.51    20180201
M105               NGC3379  GAL  10:47:49.60 +12:34:53.8  2000  B=10.56   20180201
M106               NGC4258  GAL  12:18:57.62 +47:18:13.3  2000  B=9.14    20180201
M107               NGC6171  GC   16:32:31.86 -13:03:13.6  2000  B=9.96    20180201
M108               NGC3556  GAL  11:11:30.97 +55:40:26.8  2000  B=10.70   20180201
M109               NGC3992  GAL  11:57:35.98 +53:22:28.2  2000  B=10.94   20180201
M110               NGC205   GAL  00:40:22.08 +41:41:07.0  2000  B=8.92    20180201
